Date,AGG,EEM,GLD,GSG,LQD,QQQ,SLV,SPY,TLT,VGK,VNQ,VPL,VWRA.L
2022-05-24,94.491455078125,37.83425521850586,174.1300048828125,24.489999771118164,100.72919464111328,281.4374694824219,20.389999389648438,377.00048828125,107.33171081542969,52.79344940185547,85.50946807861328,62.70500946044922,98.19999694824219
2022-05-25,94.88359069824219,38.0200309753418,173.0800018310547,24.6299991607666,101.76764678955078,285.3763122558594,20.34000015258789,380.331298828125,107.756103515625,52.748329162597656,86.2342529296875,62.759552001953125,99.44000244140625
2022-05-26,94.81060791015625,38.61452865600586,172.75999450683594,24.989999771118164,101.79425811767578,293.2832336425781,20.309999465942383,387.930908203125,107.26851654052734,53.461273193359375,86.34034729003906,63.25057601928711,101.26000213623047
2022-05-27,94.96566772460938,39.06040573120117,172.85000610351562,25.25,102.3268051147461,302.85595703125,20.360000610351562,397.45428466796875,107.53038024902344,54.120059967041016,88.65619659423828,63.905269622802734,103.0199966430664
2022-05-30,,,,,,,,,,,,,104.5
2022-05-31,94.3637466430664,39.60845947265625,171.13999938964844,25.040000915527344,101.57239532470703,302.05242919921875,19.84000015258789,395.22412109375,105.25479888916016,53.96664047241211,87.56897735595703,63.41423416137695,103.08000183105469
2022-06-01,93.97638702392578,39.32978439331055,172.22999572753906,25.190000534057617,100.97985076904297,299.81854248046875,20.1299991607666,392.0273132324219,105.13447570800781,53.073219299316406,86.84417724609375,63.38695526123047,102.22000122070312
2022-06-02,94.09513092041016,40.00788497924805,174.35000610351562,25.68000030517578,101.02432250976562,308.0292053222656,20.59000015258789,399.4928894042969,105.18875885009766,54.39078903198242,88.03744506835938,64.25080108642578,
2022-06-03,93.93984985351562,39.3576545715332,172.5800018310547,25.920000076293945,100.70402526855469,300.01446533203125,20.229999542236328,392.9366149902344,104.96260833740234,53.65077590942383,86.8618392944336,63.05961227416992,
2022-06-06,93.36426544189453,39.57129669189453,171.82000732421875,25.940000534057617,99.99229431152344,301.0138244628906,20.3700008392334,394.13299560546875,103.02668762207031,53.91249084472656,86.58784484863281,63.23238754272461,103.45999908447266
2022-06-07,93.72054290771484,39.69205856323242,172.94000244140625,26.1299991607666,100.52609252929688,303.6102600097656,20.520000457763672,397.9136657714844,104.13937377929688,54.04785919189453,87.7811050415039,63.2778434753418,103.08000183105469
2022-06-08,93.33683776855469,39.905704498291016,172.77999877929688,26.34000015258789,99.94779968261719,301.4253845214844,20.350000381469727,393.58746337890625,103.21668243408203,53.27174758911133,85.7569580078125,62.4776725769043,103.73999786376953
2022-06-09,93.23634338378906,38.96141815185547,172.22999572753906,26.280000686645508,99.28941345214844,293.35186767578125,19.969999313354492,384.2268371582031,103.56044006347656,51.94514465332031,83.72395324707031,61.613861083984375,102.0999984741211
2022-06-10,92.51456451416016,38.53049087524414,174.5399932861328,26.0,98.32857513427734,283.005126953125,20.190000534057617,373.0859069824219,102.91813659667969,50.546348571777344,81.86773681640625,60.422664642333984,97.94000244140625
2022-06-13,90.9979476928711,37.181495666503906,169.92999267578125,25.770000457763672,96.05985260009766,269.8464660644531,19.5,358.9205322265625,99.68867492675781,48.73241424560547,77.7752456665039,58.53133010864258,94.91000366210938
2022-06-14,90.45890808105469,37.696739196777344,168.57000732421875,25.299999237060547,95.5616226196289,270.33636474609375,19.3700008392334,357.8389587402344,98.43125915527344,48.118751525878906,77.18304443359375,58.31309127807617,94.30000305175781
2022-06-15,91.46388244628906,38.19324493408203,170.77000427246094,25.25,97.05628967285156,277.087158203125,19.959999084472656,362.9404296875,100.26763916015625,49.29194259643555,79.01272583007812,58.84958267211914,94.8499984741211
2022-06-16,91.68315124511719,37.02224349975586,172.69000244140625,25.40999984741211,97.16307067871094,265.90771484375,20.239999771118164,350.92852783203125,101.0636978149414,48.01947784423828,76.935546875,57.84935760498047,92.76000213623047
2022-06-17,91.67403411865234,37.16276168823242,171.27000427246094,24.5,97.35881805419922,269.1409912109375,19.979999542236328,351.6850280761719,101.38936614990234,48.02850341796875,77.51891326904297,57.312870025634766,92.72000122070312
2022-06-20,,,,,,,,,,,,,93.68000030517578
2022-06-21,91.3085708618164,37.7623176574707,170.6300048828125,24.479999542236328,96.38013458251953,275.93133544921875,19.979999542236328,360.5382080078125,99.67060089111328,48.818355560302734,78.59729766845703,58.0053825378418,94.95999908447266
2022-06-22,92.08517456054688,37.08782196044922,171.30999755859375,24.010000228881836,97.08297729492188,275.52886962890625,19.760000228881836,359.8846740722656,102.41158294677734,48.49616241455078,79.59611511230469,57.363319396972656,94.83999633789062
2022-06-23,92.4688720703125,37.200233459472656,170.25999450683594,23.469999313354492,97.83033752441406,279.6322326660156,19.3700008392334,363.4124450683594,103.25287628173828,48.201568603515625,81.10833740234375,57.41835021972656,94.44999694824219
2022-06-24,92.32270050048828,38.08082580566406,170.08999633789062,23.829999923706055,97.94601440429688,289.2135009765625,19.510000228881836,374.9666748046875,101.82357788085938,49.81258773803711,82.83403778076172,58.8492317199707,96.87999725341797
2022-06-27,91.91156768798828,38.12766647338867,169.89999389648438,23.940000534057617,97.04739379882812,287.09307861328125,19.489999771118164,373.534423828125,100.95515441894531,49.6837043762207,82.70950317382812,58.629093170166016,97.72000122070312
2022-06-28,91.94812774658203,37.893463134765625,169.6199951171875,24.229999542236328,97.0207290649414,278.3462219238281,19.190000534057617,365.9020080566406,101.42554473876953,49.195796966552734,81.70431518554688,58.574066162109375,97.02999877929688
2022-06-29,92.47801208496094,37.74357986450195,169.49000549316406,23.790000915527344,97.59902954101562,278.6014709472656,19.139999389648438,365.6040344238281,103.0086441040039,48.91041946411133,81.19727325439453,58.40896224975586,95.72000122070312
2022-06-30,92.89827728271484,37.56558609008789,168.4600067138672,23.100000381469727,97.89260864257812,275.1459045410156,18.639999389648438,362.6337890625,103.91325378417969,48.625038146972656,81.04605102539062,58.22550964355469,94.63999938964844
2022-07-01,93.67261505126953,37.331390380859375,168.32000732421875,23.3799991607666,99.12996673583984,276.9620666503906,18.309999465942383,366.4692077636719,104.98008728027344,48.661861419677734,82.50489807128906,58.24385452270508,94.6500015258789
2022-07-04,,,,,,,,,,,,,95.20999908447266
2022-07-05,93.84652709960938,37.040985107421875,164.75,21.850000381469727,99.10318756103516,281.70361328125,17.729999542236328,367.16131591796875,105.804931640625,47.262577056884766,82.27362823486328,57.675174713134766,93.31999969482422
2022-07-06,93.2149887084961,36.81614685058594,162.13999938964844,21.540000915527344,98.6125259399414,283.50982666015625,17.690000534057617,368.40130615234375,104.02835845947266,47.36384201049805,82.12240600585938,57.65684127807617,94.44000244140625
2022-07-07,93.00447082519531,37.55622100830078,162.22999572753906,22.399999618530273,98.6036376953125,289.57672119140625,17.75,373.9189147949219,103.11289978027344,48.100303649902344,82.34478759765625,58.58323669433594,96.33000183105469
