Ticker,Asset_Class,Annual_Return,Annual_Volatility,Sharpe_Ratio
AGG,US Aggregate Bonds,0.016977429404132854,0.05225423834300978,0.3249005237180723
BNDX,International Bonds,0.020014064370245103,0.05029299264617863,0.3979493626686344
EEM,Emerging Markets,0.043751678028706435,0.17375392323562966,0.251802533226109
GLD,Gold,0.10285112585653838,0.14117084459374976,0.7285578417591478
GSG,Commodities,0.029142264773737422,0.2114049623992027,0.1378504290675408
LQD,Corporate Bonds,0.02880042521495204,0.0848741117139781,0.33933109440966125
SLV,Silver,0.10254853523375607,0.27114789541336876,0.37820147959260164
SPY,US Equities,0.12899716102959258,0.15833491202384126,0.8147107885478146
TLT,Long-Term Treasury,0.0037614639695645433,0.13840710911932871,0.027176811895706667
VGK,European Equities,0.07206141091774132,0.1784657036186729,0.40378296477464776
VNQ,Real Estate,0.0711105724560395,0.1853558358972477,0.38364355841193887
VPL,Asia-Pacific,0.05464881692625977,0.1500531258360647,0.3641964578996137
