,Weight,Asset_Class
AGG,0.05281838919720972,US Aggregate Bonds
BNDX,0.19999992623442636,International Bonds
EEM,1.3383716693705119e-08,Emerging Markets
GLD,0.1999999957503577,Gold
GSG,7.858140452136431e-08,Commodities
LQD,3.737396536279691e-07,Corporate Bonds
SLV,0.09999017330453715,Silver
SPY,0.19999999672247562,US Equities
TLT,1.1598996128987218e-08,Long-Term Treasury
VGK,0.19999997203955486,European Equities
VNQ,9.55156177240746e-06,Real Estate
VPL,0.04718151788589453,Asia-Pacific
