,Weight,Asset_Class
AGG,0.1,US Aggregate Bonds
BNDX,0.2,International Bonds
EEM,0.0,Emerging Markets
GLD,0.2,Gold
GSG,0.0,Commodities
LQD,0.0,Corporate Bonds
SLV,0.1,Silver
SPY,0.2,US Equities
TLT,0.0,Long-Term Treasury
VGK,0.2,European Equities
VNQ,0.0,Real Estate
VPL,0.0,Asia-Pacific
