Date,AGG,EEM,GLD,GSG,LQD,SLV,SPY,TLT,VGK,VNQ,VPL
2010-01-04,68.48221588134766,31.084091186523438,109.80000305175781,32.70000076293945,60.77814483642578,17.229999542236328,85.7684555053711,58.8932991027832,29.452465057373047,24.488725662231445,34.077205657958984
2010-01-05,68.793701171875,31.309709548950195,109.69999694824219,33.029998779296875,61.068416595458984,17.510000228881836,85.9955062866211,59.27364730834961,29.405309677124023,24.461244583129883,34.23200225830078
2010-01-06,68.75395965576172,31.37520980834961,111.51000213623047,33.27000045776367,60.88844680786133,17.860000610351562,86.05604553222656,58.480186462402344,29.582149505615234,24.417272567749023,34.38677215576172
2010-01-07,68.67443084716797,31.193262100219727,110.81999969482422,33.11000061035156,60.963890075683594,17.889999389648438,86.41929626464844,58.57854461669922,29.393508911132812,24.681129455566406,34.14815139770508
2010-01-08,68.7142105102539,31.44071388244629,111.37000274658203,33.18000030517578,61.09745407104492,18.149999618530273,86.70687103271484,58.55226516723633,29.68826675415039,24.499732971191406,34.51577377319336
2010-01-11,68.66122436523438,31.37520980834961,112.8499984741211,33.02000045776367,61.161338806152344,18.209999084472656,86.82797241210938,58.23095703125,29.924074172973633,24.642642974853516,34.7156867980957
2010-01-12,69.09868621826172,30.873031616210938,110.48999786376953,32.279998779296875,61.277381896972656,17.90999984741211,86.0182113647461,59.22773361206055,29.487842559814453,24.230379104614258,34.606040954589844
2010-01-13,68.80699920654297,30.967649459838867,111.54000091552734,32.2599983215332,61.02196502685547,18.270000457763672,86.74474334716797,58.539154052734375,29.888715744018555,24.71959686279297,34.786617279052734
2010-01-14,68.98603820800781,30.887592315673828,112.02999877929688,32.20000076293945,61.2425537109375,18.309999465942383,86.97928619384766,59.358856201171875,29.82975196838379,24.697608947753906,35.218719482421875
2010-01-15,69.11856079101562,30.530960083007812,110.86000061035156,31.770000457763672,61.2193603515625,18.049999237060547,86.00301361083984,59.72610855102539,29.204858779907227,24.510713577270508,35.03169250488281
2010-01-19,69.00584411621094,31.149593353271484,111.5199966430664,32.0099983215332,61.271583557128906,18.450000762939453,87.07769775390625,59.55562210083008,29.812074661254883,25.01093864440918,35.22515869140625
2010-01-20,69.18482971191406,30.39997100830078,108.94000244140625,31.420000076293945,61.2309684753418,17.56999969482422,86.19226837158203,60.158897399902344,28.88653564453125,24.73060417175293,34.28359603881836
2010-01-21,69.20472717285156,29.482948303222656,107.37000274658203,30.8799991607666,61.393489837646484,17.06999969482422,84.53485870361328,60.434322357177734,27.99045181274414,24.021482467651367,33.954689025878906
2010-01-22,69.24454498291016,28.827930450439453,107.16999816894531,30.079999923706055,61.300636291503906,16.780000686645508,82.65040588378906,60.329410552978516,27.38324737548828,23.416828155517578,33.5677375793457
2010-01-25,69.23783111572266,29.03899574279785,107.4800033569336,30.350000381469727,61.29481887817383,16.829999923706055,83.07422637939453,60.05398178100586,27.884328842163086,23.581741333007812,33.90953826904297
2010-01-26,69.32404327392578,28.43492317199707,107.55999755859375,30.040000915527344,61.13229751586914,16.43000030517578,82.72611999511719,60.07365036010742,27.66621971130371,23.361862182617188,33.516136169433594
2010-01-27,69.27104187011719,28.36214828491211,106.52999877929688,29.579999923706055,60.911720275878906,16.260000228881836,83.11962890625,60.040870666503906,27.778226852416992,23.570743560791016,33.3355712890625
2010-01-28,69.21135711669922,28.16564178466797,106.4800033569336,29.549999237060547,60.82465744018555,15.920000076293945,82.16606140136719,60.008079528808594,27.10027503967285,23.367359161376953,32.980857849121094
2010-01-29,69.37049865722656,27.859960556030273,105.95999908447266,29.239999771118164,61.21351623535156,15.899999618530273,81.2730484008789,60.53264617919922,26.787824630737305,23.235429763793945,32.484283447265625
2010-02-01,69.27540588378906,28.609590530395508,108.3499984741211,29.760000228881836,60.940673828125,16.360000610351562,82.5368881225586,59.98320007324219,27.459890365600586,23.658702850341797,32.96797180175781
2010-02-02,69.3551254272461,28.842487335205078,109.12999725341797,30.540000915527344,61.13306427001953,16.350000381469727,83.53587341308594,60.154273986816406,27.884328842163086,23.983016967773438,33.406497955322266
2010-02-03,69.22880554199219,28.675100326538086,108.69999694824219,30.43000030517578,61.068973541259766,16.06999969482422,83.11962890625,59.456722259521484,27.53651237487793,23.592729568481445,33.142093658447266
2010-02-04,69.39503479003906,27.379619598388672,104.37000274658203,29.18000030517578,61.0631217956543,15.039999961853027,80.55409240722656,60.397762298583984,26.186513900756836,22.718738555908203,32.206966400146484
2010-02-05,69.42166900634766,27.073949813842773,104.68000030517578,28.610000610351562,60.8765754699707,14.899999618530273,80.72057342529297,60.52939224243164,25.94481086730957,23.13648796081543,32.174720764160156
2010-02-08,69.5546646118164,26.80466651916504,104.04000091552734,28.81999969482422,60.93484115600586,14.75,80.1378173828125,60.608394622802734,25.567523956298828,22.630779266357422,31.897418975830078
2010-02-09,69.42829132080078,27.67801284790039,105.41000366210938,29.389999389648438,60.794979095458984,15.119999885559082,81.1444091796875,60.00290298461914,26.6286563873291,22.559314727783203,32.50363540649414
2010-02-10,69.26873016357422,27.605234146118164,105.12000274658203,29.459999084472656,60.322731018066406,14.949999809265137,80.98544311523438,59.430416107177734,26.32211685180664,22.603290557861328,32.445579528808594
2010-02-11,69.15570068359375,28.333032608032227,107.12999725341797,29.860000610351562,60.462615966796875,15.369999885559082,81.83309936523438,59.107967376708984,26.546127319335938,22.817672729492188,32.81319046020508
